Year,Visitors
1967,417300
1968,474400
1969,397500
1970,438400
1971,395200
1972,492589
1973,460900
1974,473300
1975,510800
1976,435000
1977,453100
1978,486394
1979,465268
1980,604401
1981,513421
1982,539150
1983,531183
1984,524757
1985,552542
1986,522672
1987,570507
1988,537282
1989,589474
1990,683962
1991,763181
1992,657996
1993,639741
1994,688974
1995,348788
1996,385706
1997,534888
1998,558479
1999,559764
2000,600333
2001,661692
2002,763992
2003,629858
2004,819161
2005,670456
2006,636030
2007,616233
2008,604577
2009,569667
2010,613057
2011,519173
2012,483334
2013,294219
2014,384343
2015,441899
2016,431303
2017,456392
