Year,Visitors
1973,20100
1974,25700
1975,39500
1976,46000
1977,63300
1978,63291
1979,46919
1980,66652
1981,50747
1982,49577
1983,51309
1984,54845
1985,93990
1986,127430
1987,143597
1988,155012
1989,161740
1990,94844
1991,73075
1992,87969
1993,81508
1994,100333
1995,91434
1996,91278
1997,86488
1998,79779
1999,81510
2000,82094
2001,79669
2002,62509
2003,67537
2004,61258
2005,59508
2006,56094
2007,55992
2008,56988
2009,64251
2010,65422
2011,61289
2012,62637
2013,58032
2014,63297
2015,69130
2016,73564
2017,71763
