Year,Visitors
1969,800
1970,1900
1971,1700
1972,3742
1973,3400
1974,3400
1975,5300
1976,6500
1977,5800
1978,5231
1979,5827
1980,5103
1981,5153
1982,5055
1983,4912
1984,5044
1985,5635
1986,7364
1987,6772
1988,7209
1989,7564
1990,7592
1991,8159
1992,9237
1993,9192
1994,11022
1995,10574
1996,10666
1997,9623
1998,9168
1999,9390
2000,8898
2001,8858
2002,8290
2003,8445
2004,9483
2005,9656
2006,10679
2007,10027
2008,10095
2009,9641
2010,9491
2011,8429
2012,7966
2013,8082
2014,6964
2015,7760
2016,8013
2017,8491
