Year,Visitors
1973,1000
1974,13900
1975,8600
1976,8200
1977,12000
1978,14360
1979,13669
1980,10823
1981,12431
1982,17393
1983,16402
1984,14771
1985,15585
1986,15281
1987,19635
1988,20456
1989,19528
1990,26471
1991,22673
1992,23824
1993,26499
1994,25055
1995,26219
1996,22394
1997,23106
1998,22473
1999,22043
2000,21915
2001,19902
2002,19320
2003,19417
2004,18288
2005,17779
2006,16631
2007,19853
2008,17727
2009,18693
2010,19700
2011,16552
2012,17084
2013,17662
2014,16623
2015,19293
2016,20737
2017,21978
