Year,Visitors
1964,86600
1965,107900
1966,135800
1967,121600
1968,123500
1969,98900
1970,100100
1971,82400
1972,79435
1973,56200
1974,52900
1975,67000
1976,63400
1977,69600
1978,68200
1979,72465
1980,63465
1981,71179
1982,74988
1983,71334
1984,69004
1985,68410
1986,63918
1987,52237
1988,54703
1989,55026
1990,56547
1991,66711
1992,73037
1993,71249
1994,69129
1995,61032
1996,64560
1997,62191
1998,64846
1999,60419
2000,54988
2001,56946
2002,56454
2003,54204
2004,54007
2005,51858
2006,49091
2007,51435
2008,49290
2009,50968
2010,43280
2011,35130
2012,38136
2013,43277
2014,49842
2015,55955
2016,61823
2017,60910
