Year,Visitors
1934,27127
1935,23112
1936,21490
1937,22588
1938,25780
1939,39638
1940,41456
1941,52233
1942,12957
1943,7613
1944,8869
1945,10962
1946,30261
1947,33698
1948,28558
1949,30430
1950,40714
1951,46278
1952,58126
1953,63185
1954,111900
1955,186300
1956,220900
1957,234500
1958,138000
1959,222700
1960,384900
1961,534300
1962,590800
1963,631300
1964,672400
1965,566000
1966,766200
1967,902500
1968,1059100
1969,1027400
1970,913400
1971,280500
1972,379796
1973,353700
1974,230100
1975,277500
1976,364500
1977,386100
1978,342018
1979,317415
1980,343964
1981,336538
1982,233631
1983,280644
1984,261960
1985,300404
1986,327942
1987,292132
1988,285145
1989,277675
1990,285714
1991,206528
1992,218896
1993,207503
1994,207332
1995,216433
1996,217178
1997,221923
1998,225854
1999,225604
2000,219049
2001,226390
2002,234855
2003,227004
2004,228355
2005,208687
2006,213521
2007,233205
2008,208631
2009,203456
2010,202210
2011,257389
2012,284762
2013,247734
2014,262317
2015,260744
2016,259343
2017,208816
