Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,22615
1947,39676
1948,56001
1949,59570
1950,61899
1951,75124
1952,80352
1953,83682
1954,81400
1955,82100
1956,107400
1957,112000
1958,110700
1959,116000
1960,110800
1961,146900
1962,140700
1963,147600
1964,168600
1965,168000
1966,206400
1967,242300
1968,215100
1969,204300
1970,191800
1971,157100
1972,190020
1973,214600
1974,168000
1975,281000
1976,247200
1977,318700
1978,335381
1979,392405
1980,298718
1981,247469
1982,233710
1983,254739
1984,252159
1985,231010
1986,262653
1987,276136
1988,257109
1989,297065
1990,304189
1991,322439
1992,322688
1993,334267
1994,326018
1995,299986
1996,308819
1997,335009
1998,279251
1999,281437
2000,244162
2001,290705
2002,241876
2003,243286
2004,252793
2005,363948
2006,316611
2007,264586
2008,248093
2009,296117
2010,294484
2011,293041
2012,262235
2013,217580
2014,228103
2015,202191
2016,192906
2017,188089
