Year,Visitors
1939,3535
1940,10102
1941,6764
1942,2448
1943,1330
1944,2153
1945,4386
1946,11940
1947,12063
1948,14181
1949,19272
1950,22434
1951,21273
1952,22814
1953,25180
1954,24800
1955,22800
1956,30400
1957,31600
1958,35600
1959,40900
1960,45600
1961,49900
1962,63600
1963,65800
1964,76300
1965,88300
1966,94600
1967,94400
1968,125100
1969,100500
1970,122900
1971,135800
1972,157655
1973,97100
1974,107500
1975,105500
1976,115900
1977,115900
1978,112432
1979,106583
1980,89861
1981,121212
1982,94936
1983,97090
1984,89745
1985,81531
1986,86110
1987,85236
1988,78965
1989,65302
1990,66892
1991,66135
1992,74329
1993,93954
1994,79746
1995,59281
1996,54402
1997,67493
1998,53159
1999,56065
2000,47298
2001,44376
2002,50074
2003,50455
2004,53638
2005,46455
2006,40651
2007,40263
2008,48297
2009,56923
2010,57128
2011,52916
2012,55199
2013,54057
2014,49038
2015,51616
2016,57444
2017,61513
