Year,Visitors
1967,38600
1968,39700
1969,34100
1970,39000
1971,32100
1972,31731
1973,20100
1974,17500
1975,18700
1976,21600
1977,20700
1978,21914
1979,22908
1980,24036
1981,22616
1982,24419
1983,60788
1984,67292
1985,58625
1986,55138
1987,43565
1988,48012
1989,42735
1990,38399
1991,46816
1992,52958
1993,47413
1994,46125
1995,48310
1996,45985
1997,43563
1998,43530
1999,42572
2000,40001
2001,35581
2002,39920
2003,35317
2004,37127
2005,31551
2006,31512
2007,30471
2008,21483
2009,27443
2010,29423
2011,26704
2012,33194
2013,27432
2014,24607
2015,32170
2016,31060
2017,29188
