Year,Visitors
1938,20726
1939,21370
1940,19204
1941,16028
1942,4646
1943,2144
1944,2251
1945,3472
1946,13281
1947,13219
1948,13803
1949,16405
1950,14841
1951,30142
1952,35598
1953,44659
1954,50500
1955,53400
1956,55300
1957,60300
1958,60600
1959,72500
1960,62700
1961,69200
1962,72400
1963,80300
1964,102700
1965,135800
1966,185600
1967,187700
1968,175800
1969,166700
1970,192600
1971,184000
1972,217639
1973,276100
1974,255900
1975,260600
1976,300000
1977,330300
1978,293452
1979,251507
1980,254243
1981,270207
1982,247694
1983,250790
1984,301115
1985,333170
1986,368794
1987,360278
1988,330628
1989,383003
1990,372079
1991,343864
1992,346779
1993,387876
1994,487195
1995,451490
1996,455402
1997,537642
1998,506212
1999,579385
2000,636348
2001,682480
2002,714970
2003,947875
2004,918450
2005,1002444
2006,922315
2007,830672
2008,813131
2009,793253
2010,673700
2011,570695
2012,497574
2013,523694
2014,568529
2015,622175
2016,557810
2017,578981
