Year,Visitors
1934,274000
1935,141098
1936,166510
1937,219159
1938,283822
1939,258403
1940,515823
1941,686324
1942,332763
1943,255641
1944,299313
1945,390108
1946,486528
1947,462399
1948,490483
1949,564076
1950,502762
1951,687621
1952,687096
1953,621011
1954,605400
1955,650900
1956,580600
1957,653700
1958,551600
1959,600900
1960,511500
1961,468200
1962,495800
1963,512300
1964,597400
1965,628800
1966,696200
1967,567700
1968,540000
1969,550000
1970,569100
1971,514300
1972,504054
1973,506100
1974,458500
1975,598000
1976,709100
1977,430900
1978,527125
1979,543543
1980,614665
1981,672541
1982,685443
1983,723297
1984,772531
1985,795752
1986,810114
1987,546360
1988,575992
1989,591376
1990,561800
1991,563042
1992,587841
1993,518439
1994,575747
1995,603976
1996,610932
1997,661141
1998,684724
1999,682012
2000,690781
2001,646775
2002,673823
2003,607357
2004,627659
2005,620636
2006,622419
2007,574924
2008,598050
2009,605870
2010,611582
2011,641254
2012,744076
2013,678431
2014,769300
2015,617890
2016,610987
2017,591861
