Year,Visitors
1935,82000
1936,25000
1937,105643
1938,107533
1939,73669
1940,71457
1941,81347
1942,44438
1943,9953
1944,22165
1945,39169
1946,76696
1947,77180
1948,83031
1949,110126
1950,107759
1951,106117
1952,111399
1953,121575
1954,166500
1955,148800
1956,139200
1957,132300
1958,118600
1959,125400
1960,136200
1961,156800
1962,166000
1963,196100
1964,227000
1965,246700
1966,256700
1967,270600
1968,267800
1969,313900
1970,267900
1971,269900
1972,276368
1973,212200
1974,141300
1975,210500
1976,234700
1977,150900
1978,158910
1979,108058
1980,132487
1981,153898
1982,139511
1983,134187
1984,166539
1985,140199
1986,155233
1987,142498
1988,135497
1989,167945
1990,182104
1991,209360
1992,173969
1993,145301
1994,102050
1995,107903
1996,96103
1997,88307
1998,97797
1999,85438
2000,93860
2001,89133
2002,89407
2003,95957
2004,105688
2005,102004
2006,223111
2007,353296
2008,127672
2009,197271
2010,264450
2011,193479
2012,187893
2013,165159
2014,219546
2015,280705
2016,290021
2017,294145
