Year,Visitors
1972,512115
1973,606200
1974,649500
1975,676200
1976,747300
1977,828100
1978,805986
1979,872177
1980,792694
1981,1073265
1982,1222873
1983,961394
1984,1176135
1985,1075004
1986,1274667
1987,1796755
1988,1427958
1989,1292627
1990,1335888
1991,1351535
1992,1366393
1993,1479512
1994,1506306
1995,1403993
1996,1483089
1997,1648450
1998,1669608
1999,1682903
2000,1607726
2001,1203023
2002,1617824
2003,1596933
2004,1660007
2005,1682041
2006,1613853
2007,1552141
2008,1390187
2009,1385134
2010,1315241
2011,1338508
2012,1502786
2013,1591312
2014,1677457
2015,1610466
2016,2264154
2017,1532541
