Year,Visitors
1935,19610
1936,12545
1937,12500
1938,45170
1939,40995
1940,36020
1941,49767
1942,0
1943,0
1944,0
1945,0
1946,0
1947,18922
1948,32781
1949,48401
1950,57318
1951,68712
1952,77870
1953,78802
1954,64400
1955,64400
1956,63000
1957,66900
1958,116600
1959,145800
1960,136100
1961,123200
1962,161600
1963,176300
1964,252300
1965,261500
1966,230300
1967,269500
1968,266800
1969,161400
1970,240800
1971,210000
1972,284805
1973,270900
1974,288500
1975,296400
1976,324000
1977,267100
1978,344096
1979,276608
1980,283483
1981,239572
1982,278463
1983,291318
1984,365084
1985,381616
1986,480859
1987,381468
1988,284228
1989,461730
1990,342107
1991,373787
1992,363979
1993,344963
1994,338461
1995,313879
1996,343706
1997,355040
1998,361104
1999,358710
2000,354900
2001,357953
2002,354070
2003,331059
2004,319586
2005,297982
2006,333378
2007,317349
2008,352636
2009,435661
2010,416292
2011,408104
2012,385751
2013,374408
2014,387010
2015,382945
2016,344921
2017,360591
