Year,Visitors
1941,79049
1942,6975
1943,9014
1944,7851
1945,15496
1946,107294
1947,104525
1948,102170
1949,128686
1950,135669
1951,141815
1952,152032
1953,166385
1954,115700
1955,90000
1956,122200
1957,99300
1958,86100
1959,99100
1960,90800
1961,102800
1962,110600
1963,136700
1964,145500
1965,176700
1966,321300
1967,256500
1968,234800
1969,215500
1970,287400
1971,325200
1972,322996
1973,305300
1974,336100
1975,347800
1976,335400
1977,375700
1978,345624
1979,305153
1980,350464
1981,299252
1982,300353
1983,359761
1984,389893
1985,272832
1986,259622
1987,282944
1988,287379
1989,279977
1990,289411
1991,282468
1992,289361
1993,327450
1994,324179
1995,288674
1996,308348
1997,354977
1998,357928
1999,305305
2000,244750
2001,267464
2002,278565
2003,177263
2004,270050
2005,276071
2006,299432
2007,321717
2008,311751
2009,338212
2010,305711
2011,282134
2012,281833
2013,263598
2014,264987
2015,289885
2016,292367
2017,274981
