Year,Visitors
1964,39800
1965,41500
1966,49700
1967,52800
1968,49000
1969,63200
1970,77100
1971,80600
1972,75298
1973,84200
1974,85900
1975,89400
1976,98300
1977,98200
1978,104457
1979,90584
1980,102361
1981,136786
1982,129012
1983,118692
1984,121561
1985,138410
1986,160019
1987,129293
1988,129873
1989,87516
1990,85233
1991,75748
1992,101090
1993,116926
1994,103800
1995,96054
1996,75056
1997,62392
1998,41846
1999,35880
2000,53628
2001,84974
2002,74906
2003,73676
2004,78444
2005,74400
2006,77014
2007,83850
2008,75174
2009,63540
2010,68678
2011,86122
2012,87386
2013,69584
2014,88790
2015,111469
2016,163636
2017,141914
