Year,Visitors
1971,7400
1972,7731
1973,8800
1974,5300
1976,211700
1977,102000
1978,87043
1979,68288
1980,64975
1981,60696
1982,66595
1983,63154
1984,56352
1985,67100
1986,57857
1987,45338
1988,52659
1989,51271
1990,53007
1991,57172
1992,59621
1993,54785
1994,50193
1995,56139
1996,48429
1997,82552
1998,46007
1999,51228
2000,38667
2001,53065
2002,77863
2003,56646
2004,68427
2005,38237
2006,60589
2007,59643
2008,71263
2009,93170
2010,103748
2011,102874
2012,195057
2013,129089
2014,60819
2015,86678
2016,94006
2017,106936
