Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1949,3097
1950,10773
1951,13892
1952,17391
1953,24820
1954,27000
1955,30600
1956,31800
1957,35600
1958,36200
1959,42000
1960,51800
1961,65500
1962,60300
1963,142900
1964,158600
1965,144600
1966,162000
1967,134400
1968,134400
1969,142400
1970,177700
1971,179100
1972,170879
1973,169800
1974,158800
1975,178700
1976,200000
1977,202300
1978,204919
1979,185582
1980,183416
1981,206547
1982,220144
1983,244374
1984,267649
1985,262019
1986,277588
1987,290192
1988,310974
1989,256455
1990,249552
1991,309927
1992,337236
1993,341794
1994,345345
1995,330306
1996,322702
1997,332095
1998,334762
1999,301420
2000,319147
2001,919443
2002,922776
2003,839036
2004,781239
2005,779390
2006,776162
2007,788838
2008,744971
2009,785604
2010,797713
2011,857883
2012,842027
2013,815007
2014,828521
2015,840711
2016,888330
2017,896569
