Year,Visitors
1936,198600
1937,224500
1938,200000
1939,131700
1940,58400
1941,89200
1942,80000
1943,119000
1944,152000
1945,166300
1946,180799
1947,159200
1948,149000
1949,163000
1950,113647
1951,123528
1952,146264
1953,152226
1954,154600
1955,259000
1956,208200
1957,197600
1958,187200
1959,193800
1960,357500
1961,405300
1962,425400
1963,374100
1964,450500
1965,95400
1966,100900
1967,137000
1968,433900
1969,438300
1970,459600
1971,589100
1972,789784
1973,602400
1974,525500
1975,578900
1976,718800
1977,561800
1978,597624
1979,518345
1980,647622
1981,650903
1982,619669
1983,704440
1984,765739
1985,769780
1986,786153
1987,827775
1988,883448
1989,781697
1990,940372
1991,853469
1992,854789
1993,942106
1994,996379
1995,1025989
1996,995416
1997,1054482
1998,1220391
1999,1159435
2000,1164176
2001,1224540
2002,545336
2003,429763
2004,826008
2005,856079
2006,857600
2007,732521
2008,335865
2009,658271
2010,662298
2011,642786
2012,701542
2013,665876
2014,655441
2015,681537
2016,650779
2017,744266
