Year,Visitors
1956,10000
1957,11800
1958,10300
1959,14600
1960,10100
1961,10600
1962,11800
1963,12500
1964,12600
1965,13900
1966,15000
1967,13700
1968,12500
1969,10900
1970,14200
1971,15200
1972,17483
1973,12800
1974,13900
1975,16300
1976,14900
1977,13900
1978,13795
1979,10435
1980,10787
1981,11720
1982,12176
1983,12413
1984,13105
1985,13362
1986,13441
1987,14435
1988,18141
1989,20011
1990,17031
1991,22279
1992,19970
1993,21215
1994,20301
1995,19459
1996,19374
1997,17883
1998,15469
1999,16022
2000,14258
2001,15100
2002,13198
2003,12944
2004,13230
2005,11645
2006,10347
2007,10534
2008,9171
2009,11070
2010,10638
2011,9575
2012,9215
2013,8965
2014,10934
2015,11726
2016,11953
2017,11676
