Year,Visitors
1956,11500
1957,9100
1958,12700
1959,22200
1960,37600
1961,28300
1962,51400
1963,63900
1964,65200
1965,70300
1966,80000
1967,89700
1968,106400
1969,104800
1970,163400
1971,185700
1972,222229
1973,113200
1974,148700
1975,238900
1976,276700
1977,216100
1978,168125
1979,156749
1980,162142
1981,231224
1982,201353
1983,239650
1984,265378
1985,264829
1986,263145
1987,249898
1988,275178
1989,229464
1990,210380
1991,245417
1992,291458
1993,306568
1994,318366
1995,310309
1996,352769
1997,360637
1998,365326
1999,377650
2000,376688
2001,404662
2002,387394
2003,510383
2004,682415
2005,801198
2006,690307
2007,682645
2008,894417
2009,1017326
2010,786989
2011,710439
2012,681404
2013,733540
2014,803740
2015,818672
2016,1092031
2017,1081489
