Year,Visitors
1951,5931
1952,6378
1953,10279
1954,11900
1955,10100
1956,14100
1957,12600
1958,12400
1959,9400
1960,12900
1961,16600
1962,51700
1963,53100
1964,70900
1975,649600
1976,838800
1977,717700
1978,739286
1979,496921
1980,488614
1981,334867
1982,332693
1983,256219
1984,304382
1985,367587
1986,299413
1987,225272
1988,324942
1989,404922
1990,399460
1991,349710
1992,332928
1993,255829
1994,203253
1995,244691
1996,247954
1997,264052
1998,273951
1999,248131
2000,258667
2001,267032
2002,287233
2003,264566
2004,253486
2005,306802
2006,315390
2007,324660
2008,484202
2009,339370
2010,352883
2011,409381
2012,368824
2013,443918
2014,466078
2015,337433
2016,560358
2017,317470
