Year,Visitors
1969,11000
1970,10300
1971,3300
1972,85122
1973,173600
1974,119900
1975,24900
1976,25200
1977,24100
1978,30832
1979,34137
1980,38974
1981,35322
1982,30943
1983,30347
1984,29507
1985,30881
1986,33379
1987,34629
1988,37778
1989,43127
1990,50094
1991,45460
1992,54912
1993,49268
1994,50035
1995,53279
1996,82326
1997,33922
1998,31081
1999,35319
2000,32458
2001,29618
2002,39369
2003,54350
2004,53046
2005,23226
2006,17947
2007,37468
2008,37852
2009,43483
2010,44699
2011,46694
2012,53314
2013,47625
2014,45492
2015,53873
2016,67387
2017,76569
