Year,Visitors
1934,25000
1935,64900
1936,50257
1937,92094
1938,98732
1939,102475
1940,93664
1941,162215
1942,79778
1943,27990
1944,37666
1945,43180
1946,87919
1947,101915
1948,117496
1949,144768
1950,173711
1951,188021
1952,215634
1953,224459
1954,213000
1955,233900
1956,240500
1957,247000
1958,213800
1959,269000
1960,413600
1961,458500
1962,522300
1963,465800
1964,603400
1965,734000
1966,719700
1967,775700
1968,1025700
1969,971400
1970,1121500
1971,1041000
1972,1087547
1973,1018100
1974,1224300
1975,1150200
1976,1335300
1977,1163200
1978,1108988
1979,1010717
1980,995434
1981,1000456
1982,961455
1983,244328
1984,232626
1985,240932
1986,252943
1987,381504
1988,404422
1989,448985
1990,449004
1991,471311
1992,472623
1993,472239
1994,493643
1995,465082
1996,477991
1997,464773
1998,449798
1999,480820
2000,489833
2001,465323
2002,464890
2003,443634
2004,443030
2005,534636
2006,499324
2007,469920
2008,473841
2009,906175
2010,899936
2011,908836
2012,982324
2013,880251
2014,873328
2015,891917
2016,969895
2017,919311
