Year,Visitors
1974,3832400
1975,7618800
1976,8973400
1977,8716100
1978,8636009
1979,8773128
1980,9053257
1981,9376479
1982,9869135
1983,10347510
1984,7881106
1985,8640734
1986,8902610
1987,9353718
1988,6215162
1989,6748181
1990,5790221
1991,6643921
1992,6161637
1993,5898453
1994,4192280
1995,6064254
1996,6381502
1997,6807945
1998,7124022
1999,6813607
2000,7927567
2001,8285059
2002,9014438
2003,8567769
2004,8228573
2005,8294353
2006,8456456
2007,8813204
2008,9431021
2009,9010522
2010,8820757
2011,7697727
2012,5043863
2013,6191246
2014,6021713
2015,6392565
2016,8651770
2017,9190610
