Year,Visitors
1960,253200
1961,307100
1962,278100
1963,304100
1964,323100
1965,253200
1966,120100
1967,118900
1968,117500
1969,95300
1970,100700
1971,93700
1972,74457
1973,81900
1974,60400
1975,71200
1976,65200
1977,73700
1978,46500
1979,35117
1980,35941
1981,41052
1982,43620
1983,82592
1984,86914
1985,53952
1986,46630
1987,69220
1988,62949
1989,76011
1990,83447
1991,89175
1992,70888
1993,37272
1994,54540
1995,115800
1996,98127
1997,126432
1998,105856
1999,110971
2000,111299
2001,85107
2002,79548
2003,68057
2004,83010
2005,80046
2006,105657
2007,84171
2008,91436
2009,100874
2010,119665
2011,104769
2012,92418
2013,83440
2014,100622
2015,95526
2016,109151
2017,97005
