Year,Visitors
1968,58700
1969,57500
1970,68200
1971,72600
1972,71393
1973,77100
1974,77300
1975,92100
1976,126200
1977,69100
1978,67257
1979,78748
1980,80568
1981,94993
1982,107725
1983,111083
1984,112747
1985,121555
1986,120903
1987,119724
1988,113783
1989,118085
1990,119751
1991,128120
1992,136125
1993,143471
1994,165322
1995,131337
1996,135132
1997,194292
1998,143092
1999,146413
2000,134241
2001,129161
2002,128207
2003,124429
2004,133528
2005,128134
2006,128579
2007,114560
2008,113688
2009,103284
2010,118912
2011,145596
2012,125972
2013,128531
2014,125218
2015,135856
2016,126095
2017,117268
