Year,Visitors
1934,752035
1935,1215777
1936,604177
1937,622384
1938,1554234
1939,608125
1940,629832
1941,669997
1942,117860
1943,76215
1944,121078
1945,251956
1946,508837
1947,644402
1948,631874
1949,669147
1950,656035
1951,683925
1952,755348
1953,680815
1954,705500
1955,719700
1956,756300
1957,816000
1958,734900
1959,870800
1960,1336000
1961,1698200
1962,1893300
1963,2024000
1964,2260800
1965,2325500
1966,3589100
1967,2463200
1968,3901000
1969,6270100
1970,6879400
1971,5244600
1972,4205735
1973,4031700
1974,3774900
1975,2242700
1976,3070200
1977,1527900
1978,1491560
1979,994035
1980,1096364
1981,1239647
1982,1151141
1983,1198949
1984,1212226
1985,1321130
1986,1363161
1987,1335247
1988,1464544
1989,1352728
1990,1243642
1991,1415840
1992,1299203
1993,1411453
1994,1674532
1995,1642982
1996,1632720
1997,1727070
1998,1701660
1999,1641838
2000,1542184
2001,1792380
2002,1833033
2003,1769688
2004,1724420
2005,1705601
2006,1666365
2007,1647745
2008,1455951
2009,1013002
2010,1031554
2011,1124659
2012,1126577
2013,1213349
2014,1020702
2015,1080185
2016,1091320
2017,1038649
