Year,Visitors
1930,10000
1931,22500
1932,65154
1933,44428
1934,50050
1935,48923
1936,55884
1937,57109
1938,61530
1939,48742
1940,46646
1941,51828
1942,14050
1943,8095
1944,10280
1945,16004
1946,33879
1947,38744
1948,41681
1949,48809
1950,53207
1951,74394
1952,81198
1953,92271
1954,76800
1955,68100
1956,84500
1957,97400
1958,74700
1959,81100
1960,85900
1961,95500
1962,126000
1963,95700
1964,77100
1965,81600
1966,72400
1967,71900
1968,94000
1969,133500
1970,102700
1971,151000
1972,137892
1973,202300
1974,153300
1975,202300
1976,181000
1977,129200
1978,133593
1979,122579
1980,114147
1981,133291
1982,131001
1983,136708
1984,151733
1985,150515
1986,163358
1987,175420
1988,152098
1989,150381
1990,154083
1991,152301
1992,157960
1993,155529
1994,127822
1995,155281
1996,79261
1997,97788
1998,102262
1999,127449
2000,141453
2001,141907
2002,138084
2003,79541
2004,74525
2005,59089
2006,135870
2007,101844
2008,99975
2009,113083
2010,128158
2011,130647
2012,134824
2013,131683
2014,131984
2015,130952
2016,129750
2017,122457
