Year,Visitors
1934,75
1935,100
1936,100
1937,250
1938,105
1939,90
1940,80
1941,330
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1953,359
1954,500
1955,700
1956,1100
1957,900
1958,1200
1959,1300
1960,2300
1961,2900
1962,3100
1963,9800
1964,24000
1965,25200
1966,24100
1967,25900
1968,28700
1969,28600
1970,35200
1971,34100
1972,39050
1973,37200
1974,32900
1975,41700
1976,44000
1977,46200
1978,40193
1979,31933
1980,32734
1981,36417
1982,37902
1983,37717
1984,35013
1985,35739
1986,44465
1987,44404
1988,44830
1989,52185
1990,52316
1991,53007
1992,57287
1993,61105
1994,59693
1995,62292
1996,56933
1997,61638
1998,51594
1999,51539
2000,46194
2001,49447
2002,45585
2003,47869
2004,45349
2005,40058
2006,40510
2007,41690
2008,38987
2009,43016
2010,32652
2011,25317
2012,28637
2013,27825
2014,31135
2015,36518
2016,41519
2017,78872
