Year,Visitors
1911,4000
1912,6257
1913,12138
1914,14168
1915,14265
1916,12839
1917,18387
1918,9086
1919,18956
1920,22449
1921,19736
1922,23935
1923,33988
1924,33372
1925,40063
1926,37325
1927,41745
1928,53454
1929,70742
1930,73776
1931,63497
1932,53202
1933,76715
1934,116965
1935,143240
1936,210072
1937,194522
1938,153528
1939,170073
1940,177307
1941,178449
1942,62196
1943,23908
1944,35857
1945,67942
1946,200547
1947,327300
1948,284549
1949,482208
1950,482298
1951,496142
1952,649689
1953,633480
1954,608200
1955,674100
1956,718900
1957,759200
1958,706800
1959,722300
1960,724500
1961,740000
1962,966100
1963,810200
1964,642200
1965,847100
1966,907800
1967,884000
1968,964500
1969,1051200
1970,1241600
1971,1302200
1972,1391299
1973,1397800
1974,1405500
1975,1570000
1976,1661200
1977,1654500
1978,1582632
1979,1446086
1980,1474578
1981,1786523
1982,1666114
1983,2203847
1984,1946703
1985,1603011
1986,1579151
1987,1660737
1988,1817733
1989,1821523
1990,1986737
1991,2096966
1992,2199767
1993,2141704
1994,2152989
1995,1839518
1996,1720805
1997,1708856
1998,1830944
1999,1684604
2000,1728693
2001,1680614
2002,1905689
2003,1664046
2004,2033933
2005,1925101
2006,1964399
2007,2083329
2008,1808027
2009,2031348
2010,2200048
2011,1853564
2012,2162035
2013,2190374
2014,2338528
2015,2366056
2016,2946681
2017,3305512
