Year,Visitors
1956,2200
1957,3600
1958,5100
1959,1300
1960,900
1961,1300
1962,1100
1963,800
1964,1000
1965,1800
1966,4900
1967,8300
1968,13500
1969,16000
1970,29700
1971,17900
1972,18300
1973,25400
1974,50500
1975,50600
1976,56700
1977,88400
1978,81500
1979,91032
1980,95005
1981,85071
1982,90354
1983,92057
1984,108297
1985,130943
1986,136877
1987,130926
1988,148756
1989,150270
1990,186427
1991,203653
1992,211424
1993,242276
1994,250614
1995,252265
1996,304374
1997,347046
1998,403512
1999,442607
2000,384684
2001,380114
2002,408143
2003,366319
2004,353686
2005,359829
2006,413382
2007,438211
2008,418911
2009,438361
2010,444530
2011,431986
2012,454337
2013,500590
2014,500727
2015,551353
2016,520171
2017,547057
