Year,Visitors
1964,196400
1965,303500
1966,359700
1967,390000
1968,654500
1969,781300
1970,907500
1971,680600
1972,962742
1973,1199200
1974,1129500
1975,1108800
1976,1009800
1977,2066000
1978,2136380
1979,1655995
1980,1571491
1981,1733529
1982,1733226
1983,1873031
1984,1971102
1985,2078866
1986,2438898
1987,2858739
1988,3529241
1989,3452847
1990,3074242
1991,3181144
1992,3587754
1993,3584158
1994,2797734
1995,2511353
1996,2505004
1997,2430781
1998,2442990
1999,2639860
2000,2568111
2001,2340031
2002,2106896
2003,1876984
2004,1841845
2005,1908726
2006,1885378
2007,1894114
2008,1947507
2009,1960345
2010,2124467
2011,2270817
2012,2061328
2013,1991924
2014,2368452
2015,2495093
2016,3239525
2017,4574940
