Year,Visitors
1973,42600
1974,702300
1975,1196900
1976,1457600
1977,6300200
1978,8960938
1979,11321127
1980,18421773
1981,20279789
1982,19897389
1983,17604551
1984,16731706
1985,18355365
1986,21582368
1987,21767176
1988,21759271
1989,16656896
1990,14650213
1991,14695771
1992,15309338
1993,14695771
1994,14695771
1995,14695771
1996,14043984
1997,13803382
1998,14046590
1999,14048085
2000,14486065
2001,13457900
2002,13961267
2003,13854750
2004,13270547
2005,13602629
2006,13486824
2007,14397313
2008,14554750
2009,15036372
2010,14271503
2011,14567487
2012,14540338
2013,14289121
2014,15004420
2015,14888537
2016,15638777
2017,14981897
