Year,Visitors
1967,32900
1968,52300
1969,169600
1970,67000
1971,51400
1972,80778
1973,53900
1974,30900
1975,36500
1976,49900
1977,49400
1978,49362
1979,46657
1980,44587
1981,48167
1982,45163
1983,49571
1984,34093
1985,46387
1986,57647
1987,44288
1988,41417
1989,45769
1990,48781
1991,57159
1992,51281
1993,51212
1994,63338
1995,50331
1996,60484
1997,50989
1998,46203
1999,47525
2000,45273
2001,43887
2002,47242
2003,45230
2004,46189
2005,40156
2006,45381
2007,45088
2008,39968
2009,45334
2010,43561
2011,43933
2012,42551
2013,40704
2014,44125
2015,59147
2016,60027
2017,67811
