Year,Visitors
1934,1968
1935,2977
1936,2348
1937,2856
1938,3455
1939,3958
1940,4943
1941,4864
1942,1673
1943,1028
1944,872
1945,1318
1946,3546
1947,4751
1948,6103
1949,8464
1950,8350
1951,8038
1952,11721
1953,16693
1954,18400
1955,18400
1956,20300
1957,20800
1958,20300
1959,22200
1960,20700
1961,24300
1962,27300
1963,32500
1964,34800
1965,35600
1966,43300
1967,53800
1968,42400
1969,34700
1970,41200
1971,43500
1972,46949
1973,38500
1974,32100
1975,37900
1976,41800
1977,40300
1978,40266
1979,29947
1980,33383
1981,33367
1982,32264
1983,30335
1984,37676
1985,36343
1986,40359
1987,63532
1988,73559
1989,70259
1990,65026
1991,63864
1992,69144
1993,91915
1994,88024
1995,87829
1996,86635
1997,90760
1998,80363
1999,90119
2000,81045
2001,81712
2002,85777
2003,87020
2004,79879
2005,77741
2006,78524
2007,81364
2008,69235
2009,84974
2010,88870
2011,91451
2012,94850
2013,92893
2014,107526
2015,116123
2016,144846
2017,168028
