Year,Visitors
1919,37745
1920,67315
1921,67485
1922,84700
1923,102166
1924,108256
1925,134053
1926,140252
1927,162356
1928,167226
1929,184093
1930,172763
1931,156964
1932,121267
1933,105475
1934,140220
1935,206018
1936,268412
1937,297876
1938,336557
1939,395940
1940,371613
1941,436566
1942,132584
1943,71650
1944,64568
1945,169960
1946,486834
1947,622363
1948,618033
1949,600690
1950,665039
1951,682152
1952,737159
1953,836878
1954,814700
1955,892400
1956,1033700
1957,1102400
1958,1064000
1959,1169400
1960,1187700
1961,1253000
1962,1447400
1963,1539500
1964,1576600
1965,1689200
1966,1806000
1967,1804900
1968,1986300
1969,2192600
1970,2258200
1971,2402100
1972,2698300
1973,1909700
1974,1888600
1975,2625100
1976,2791600
1977,2627200
1978,2748642
1979,2131716
1980,2304973
1981,2472270
1982,2293127
1983,2248082
1984,2173584
1985,2711529
1986,3035787
1987,3513030
1988,3859886
1989,3966209
1990,3776685
1991,3886031
1992,4203545
1993,4575602
1994,4364316
1995,4557645
1996,4537703
1997,4791668
1998,4239682
1999,4575124
2000,4460228
2001,4104809
2002,4001974
2003,4124900
2004,4326234
2005,4401522
2006,4279439
2007,4413668
2008,4425314
2009,4348068
2010,4388386
2011,4298178
2012,4421352
2013,4564840
2014,4756771
2015,5520736
2016,5969811
2017,6254238
