Year,Visitors
1964,29600
1971,181900
1972,271539
1973,224500
1974,249000
1975,1040200
1976,1049600
1977,160000
1978,495012
1979,250595
1980,283365
1981,231632
1982,277869
1983,217141
1984,261142
1985,332849
1986,311053
1987,325231
1988,301410
1989,277387
1990,301184
1991,249163
1992,261340
1993,314986
1994,377531
1995,333010
1996,322800
1997,420875
1998,147634
1999,110994
2000,169511
2001,192154
2002,144289
2003,367427
2004,200000
2005,200629
2006,195038
2007,198237
2008,164103
2009,188043
2010,270661
2011,190427
2012,145552
2013,142742
2014,132688
2015,135260
2016,137900
2017,141856
