Year,Visitors
1961,27600
1962,32200
1963,32400
1964,66100
1965,70200
1966,75100
1967,103500
1968,65300
1969,92900
1970,85800
1971,70600
1972,62014
1973,79400
1974,29700
1975,37500
1976,37400
1977,40100
1978,42218
1979,36931
1980,43229
1981,41404
1982,36068
1983,36261
1984,45669
1985,46488
1986,46782
1987,47251
1988,74372
1989,75673
1990,72250
1991,67597
1992,54292
1993,61372
1994,70016
1995,75810
1996,71746
1997,69752
1998,75227
1999,74744
2000,92914
2001,81428
2002,69486
2003,63289
2004,62815
2005,62842
2006,53443
2007,68856
2008,77323
2009,76025
2010,113996
2011,97440
2012,93156
2013,88598
2014,88877
2015,91751
2016,95862
2017,96051
