Year,Visitors
1932,500
1933,550
1935,3000
1936,3150
1937,3497
1938,11050
1939,11700
1940,8419
1941,11684
1942,3419
1943,3007
1944,3466
1945,6403
1946,8777
1947,16016
1948,16478
1949,23082
1950,19004
1951,16759
1952,22376
1953,26137
1954,26400
1955,26800
1956,31200
1957,36200
1958,40900
1959,49300
1960,52700
1961,61100
1962,92800
1963,105700
1964,120500
1965,142100
1966,157500
1967,178000
1968,178600
1969,174100
1970,205800
1971,211300
1972,217200
1973,192300
1974,194700
1975,271200
1976,248000
1977,227900
1978,277640
1979,162546
1980,142427
1981,172505
1982,175273
1983,150177
1984,141833
1985,182713
1986,221449
1987,225937
1988,274286
1989,266321
1990,272136
1991,295070
1992,290654
1993,294282
1994,312225
1995,323663
1996,309283
1997,309855
1998,279768
1999,286745
2000,260789
2001,277523
2002,234776
2003,251375
2004,267204
2005,279589
2006,258660
2007,285121
2008,273903
2009,289955
2010,283284
2011,280058
2012,254674
2013,242841
2014,271774
2015,299513
2016,388308
2017,486935
