Year,Visitors
1931,154000
1932,300000
1933,375000
1934,420000
1935,500000
1936,602222
1937,727243
1938,694634
1939,761567
1940,860960
1941,1310101
1942,728706
1943,383116
1944,534586
1945,750690
1946,1157930
1947,1204017
1948,1469749
1949,1539641
1950,1843620
1951,1945100
1952,2322152
1953,2250772
1954,2526900
1955,2581500
1956,2885800
1957,2943700
1958,3168900
1959,3162300
1960,4528600
1961,4762100
1962,5209800
1963,5258700
1964,5321100
1965,5954900
1966,6466100
1967,6710100
1968,6667100
1969,6331100
1970,6778500
1971,7173000
1972,8034753
1973,7586300
1974,7807800
1975,8541500
1976,8991500
1977,9173600
1978,8695534
1979,8019788
1980,8440953
1981,8312884
1982,8177869
1983,8435475
1984,8508390
1985,9319290
1986,9836306
1987,10209841
1988,8770781
1989,8333553
1990,8151769
1991,8654459
1992,8931690
1993,9283848
1994,8628174
1995,9080420
1996,9265667
1997,9965075
1998,9989395
1999,10283598
2000,10175812
2001,9197697
2002,9316420
2003,9366845
2004,9167046
2005,9192477
2006,9289215
2007,9372253
2008,9044010
2009,9491437
2010,9463538
2011,9008830
2012,9685829
2013,9354695
2014,10099276
2015,10712674
2016,11312786
2017,11338893
