Year,Visitors
1929,51500
1930,60000
1931,62000
1932,40000
1933,42500
1934,75000
1935,100000
1936,125000
1937,135000
1938,153353
1939,87133
1940,103324
1941,125489
1942,33808
1943,8203
1944,19978
1945,41349
1946,136441
1947,142975
1948,153054
1949,166506
1950,189286
1951,637785
1952,785343
1953,942966
1954,1003500
1955,1104700
1956,1197200
1957,1306300
1958,1428500
1959,1529600
1960,1429900
1961,1492400
1962,1799400
1963,2158800
1964,2456800
1965,2507000
1966,2673100
1967,2643700
1968,2970300
1969,3134400
1970,3352500
1971,2556400
1972,2490266
1973,2228600
1974,2392900
1975,2173500
1976,2834700
1977,3258000
1978,3160026
1979,2446171
1980,2555627
1981,2643644
1982,2534029
1983,1532035
1984,1360898
1985,1334483
1986,1306322
1987,1450791
1988,1232691
1989,1331659
1990,1588253
1991,1625752
1992,1744636
1993,2568689
1994,2540699
1995,2731015
1996,2733439
1997,2658762
1998,2757060
1999,2680025
2000,2590624
2001,2535108
2002,2612629
2003,2355693
2004,2360373
2005,2463442
2006,2406476
2007,2588574
2008,2485987
2009,2580081
2010,2669374
2011,2587437
2012,2705256
2013,2688794
2014,2791392
2015,3149921
2016,3270076
2017,3317000
