Year,Visitors
1937,6043
1938,33920
1939,45544
1940,49136
1941,54115
1942,6469
1943,6124
1944,17912
1945,23268
1946,34060
1947,38310
1948,31374
1949,40602
1950,44828
1951,42958
1952,45588
1953,41212
1954,41100
1955,33800
1956,44300
1957,46500
1958,52000
1959,57600
1960,293800
1961,452300
1962,459200
1963,470600
1964,485000
1965,564900
1966,449500
1967,478000
1968,479400
1969,446200
1970,518300
1971,636700
1972,650010
1973,698900
1974,570500
1975,91800
1976,139600
1977,105700
1978,188262
1979,161485
1980,156754
1981,220944
1982,219540
1983,161504
1984,204413
1985,179278
1986,171010
1987,149971
1988,170880
1989,132553
1990,189013
1991,199587
1992,203723
1993,188272
1994,212986
1995,230513
1996,614766
1997,663904
1998,753943
1999,740024
2000,822948
2001,858125
2002,762412
2003,530756
2004,277484
2005,497193
2006,486162
2007,445752
2008,354077
2009,290368
2010,285444
2011,346617
2012,313374
2013,541581
2014,173261
2015,222602
2016,321796
2017,348991
