Year,Visitors
1973,930700
1974,1011600
1975,1364700
1976,2350700
1977,2900000
1978,3946035
1979,2965041
1980,2507507
1981,3316477
1982,3507438
1983,4060386
1984,5803384
1985,9880814
1986,7646201
1987,4826892
1988,5197899
1989,4458368
1990,4873730
1991,4987978
1992,5427729
1993,5456294
1994,5069495
1995,4520356
1996,2581037
1997,4697014
1998,4293301
1999,4597270
2000,4590595
2001,4549900
2002,4561862
2003,4939771
2004,4241477
2005,1689400
2006,1986816
2007,2034294
2008,2054201
2009,4132674
2010,4283747
2011,5501872
2012,4973462
2013,4837965
2014,4455240
2015,3976883
2016,4771309
2017,3952941
