Year,Visitors
1971,27100
1972,39068
1973,45100
1974,37500
1975,50300
1976,81400
1977,92200
1978,108755
1979,110478
1980,113825
1981,142641
1982,140620
1983,142736
1984,151862
1985,147758
1986,163313
1987,156344
1988,178910
1989,168872
1990,192890
1991,200398
1992,175120
1993,201054
1994,203520
1995,208972
1996,223485
1997,231980
1998,227924
1999,219591
2000,198762
2001,222307
2002,202911
2003,181357
2004,182351
2005,170383
2006,174157
2007,165110
2008,163709
2009,198882
2010,192210
2011,152546
2012,159360
2013,145670
2014,166868
2015,169535
2016,181839
2017,225257
