Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1952,362
1953,11681
1954,9300
1955,12100
1956,9200
1957,9800
1958,16700
1959,23800
1960,46400
1961,34900
1962,35500
1963,46600
1964,66300
1965,48300
1966,41000
1967,38400
1968,44000
1969,43200
1970,45500
1971,50700
1972,43989
1973,40100
1974,35900
1975,40100
1976,48800
1977,44000
1978,45536
1979,49112
1980,59428
1981,55150
1982,68553
1983,79202
1984,82028
1985,137117
1986,148681
1987,120544
1988,33528
1989,60279
1990,49174
1991,34316
1992,55876
1993,34626
1994,37419
1995,36773
1996,35042
1997,40432
1998,44477
1999,37653
2000,52517
2001,41464
2002,42417
2003,41024
2004,38824
2005,45574
2006,37167
2007,36480
2008,40407
2009,38899
2010,35068
2011,30787
2012,30425
2013,33061
2014,41535
2015,37745
2016,46397
2017,46466
