Year,Visitors
1966,2261000
1967,5098000
1968,3866300
1969,4167000
1970,3772600
1971,3138600
1972,3605272
1973,3547800
1974,5996600
1975,6449400
1976,7152800
1977,5100400
1978,5855881
1979,4677978
1980,6266121
1981,8555905
1982,9216441
1983,8569579
1984,8246006
1985,8780684
1986,9097082
1987,9564781
1988,9537694
1989,3048161
1990,5329182
1991,5004736
1992,5731850
1993,5491037
1994,5619821
1995,6546803
1996,6126490
1997,5844294
1998,6584802
1999,6946945
2000,7897161
2001,7664091
2002,7419375
2003,6043508
2004,7227909
2005,7284165
2006,6872213
2007,6837139
2008,7009630
2009,6938309
2010,6925099
2011,7417397
2012,7425577
2013,7360392
2014,7472150
2015,7286463
2016,10323339
2017,7562793
