Year,Visitors
1956,115700
1957,177200
1958,270400
1959,604900
1960,585800
1961,612900
1962,658000
1963,709300
1964,754500
1965,789800
1966,898000
1967,955500
1968,1009800
1969,1031300
1970,1120900
1971,881900
1972,867615
1973,935700
1974,695700
1975,780000
1976,824800
1977,706200
1978,629747
1979,437448
1980,549997
1981,589288
1982,682386
1983,600823
1984,673944
1985,566661
1986,907747
1987,916361
1988,697230
1989,624168
1990,542619
1991,489919
1992,449341
1993,426481
1994,394322
1995,386247
1996,314548
1997,340246
1998,371094
1999,333738
2000,317699
2001,325156
2002,286289
2003,264478
2004,260783
2005,241807
2006,267501
2007,249908
2008,254162
2009,275044
2010,268822
2011,255348
2012,263105
2013,255714
2014,261202
2015,282893
2016,335691
2017,342535
