Year,Visitors
1968,5200
1969,6000
1970,4000
1971,4100
1972,3982
1973,5000
1974,5400
1975,7600
1976,9000
1977,5500
1978,4894
1979,371
1980,0
1981,0
1982,0
1983,2653
1984,9163
1985,18956
1986,41623
1987,46281
1988,45307
1989,37347
1990,27182
1991,40549
1992,13916
1993,0
1994,0
1995,0
1996,0
1997,0
1998,33406
1999,43887
2000,41283
2001,22971
2002,13435
2003,13378
2004,12902
2005,15287
2006,6369
2007,0
2008,690
2009,150
2010,0
2011,7817
2012,16358
2013,20429
2014,20943
2015,35446
2016,85348
2017,85603
