Year,Visitors
1960,62100
1961,65800
1962,71200
1963,72100
1964,87600
1965,90100
1966,95500
1967,102700
1968,132700
1969,146800
1970,197400
1971,222800
1972,271326
1973,360600
1974,433500
1975,524900
1976,650300
1977,626500
1978,712751
1979,673955
1980,560238
1981,631684
1982,771762
1983,864289
1984,1003821
1985,1194651
1986,1281219
1987,1333900
1988,1314683
1989,1367761
1990,1260601
1991,1228332
1992,1183124
1993,1317433
1994,1527329
1995,1594596
1996,1553344
1997,1673561
1998,1476842
1999,1963187
2000,1620083
2001,1410974
2002,1521080
2003,1444668
2004,1455477
2005,1474681
2006,1426068
2007,1322817
2008,1185068
2009,1109104
2010,1105606
2011,956989
2012,1094668
2013,785300
2014,1142040
2015,1216772
2016,1263558
2017,1112390
