Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1951,9145
1952,10731
1953,11979
1954,11300
1955,17500
1956,14100
1957,11800
1958,11800
1959,11400
1960,13500
1961,12300
1962,14500
1963,14100
1964,17100
1965,18000
1966,15400
1967,53500
1968,41200
1969,42100
1970,50200
1971,46800
1972,48207
1973,51000
1974,49100
1975,52700
1976,24900
1977,48900
1978,39837
1979,33332
1980,60700
1981,49729
1982,80111
1983,83064
1984,82742
1985,69970
1986,45118
1987,26921
1988,25434
1989,31451
1990,29149
1991,30101
1992,24766
1993,30588
1994,29459
1995,30771
1996,30218
1997,30234
1998,28892
1999,20509
2000,23401
2001,24096
2002,28226
2003,27526
2004,28182
2005,24407
2006,29297
2007,30062
2008,35260
2009,39334
2010,32153
2011,32165
2012,37529
2013,32262
2014,32498
2015,34685
2016,34942
2017,32327
