Year,Visitors
1921,16071
1922,27750
1923,41150
1924,52110
1925,64155
1926,35000
1927,37551
1928,78414
1929,109857
1930,89578
1931,124932
1932,139663
1933,237690
1934,240997
1935,207208
1936,186049
1937,203165
1938,195986
1939,226741
1940,287810
1941,271824
1942,337926
1943,394140
1944,402475
1945,368629
1946,405755
1947,382482
1948,387753
1949,350504
1950,362245
1951,498023
1952,694632
1953,416942
1954,444600
1955,416700
1956,521400
1957,517300
1958,461300
1959,786000
1960,709100
1961,769600
1962,421600
1963,494700
1964,517900
1965,573900
1966,607600
1967,786200
1968,918000
1969,719900
1970,822300
1971,956700
1972,1365104
1973,1236500
1974,1164900
1975,1353900
1976,1430500
1977,1446200
1978,1728256
1979,1632589
1980,1692338
1981,1931852
1982,1995397
1983,2247974
1984,2008608
1985,816652
1986,898023
1987,1006058
1988,983007
1989,1056188
1990,1096816
1991,1238653
1992,1151661
1993,1143741
1994,1174289
1995,1175028
1996,1231557
1997,1832087
1998,1352373
1999,1502855
2000,1514636
2001,1343286
2002,1110998
2003,1122524
2004,1307391
2005,1661196
2006,1612246
2007,1467779
2008,1270538
2009,1233105
2010,1304667
2011,1352123
2012,1483928
2013,1583209
2014,1693005
2015,1832660
2016,1887580
2017,2016702
