Year,Visitors
1971,166000
1972,377378
1973,394900
1974,381500
1975,360500
1976,307500
1977,291200
1978,295913
1979,205028
1980,212702
1981,256910
1982,254334
1983,242562
1984,226429
1985,207845
1986,223940
1987,218664
1988,310220
1989,299831
1990,308311
1991,298135
1992,305617
1993,223268
1994,249833
1995,241959
1996,241757
1997,210736
1998,231932
1999,199350
2000,192815
2001,183640
2002,191812
2003,183364
2004,182545
2005,152214
2006,134980
2007,118298
2008,142656
2009,162886
2010,142512
2011,134249
2012,128812
2013,128919
2014,139086
2015,127154
2016,152382
2017,144619
