Year,Visitors
1960,23900
1961,15600
1962,14000
1963,29800
1964,37400
1965,47400
1966,40400
1967,59100
1968,358100
1969,264400
1970,267500
1971,70800
1972,59016
1973,80800
1974,49500
1975,61900
1976,65700
1977,62700
1978,65382
1979,50566
1980,44323
1981,78388
1982,57539
1983,62514
1984,62374
1985,62549
1986,61203
1987,47688
1988,65467
1989,100863
1990,98606
1991,58475
1992,79995
1993,91895
1994,112862
1995,106442
1996,95851
1997,97087
1998,114721
1999,111854
2000,125372
2001,108190
2002,104033
2003,85311
2004,87956
2005,58564
2006,70067
2007,73669
2008,50719
2009,72232
2010,67776
2011,65892
2012,58668
2013,55965
2014,64359
2015,89282
2016,83370
2017,74255
