Year,Visitors
1935,35260
1941,0
1942,0
1943,0
1944,0
1945,0
1946,9039
1947,32322
1948,36470
1949,41604
1950,44484
1951,44181
1952,44683
1953,49771
1954,55000
1955,53000
1956,44500
1957,43400
1958,41600
1959,43000
1960,29000
1961,31800
1962,30700
1963,41400
1964,39900
1965,43800
1966,45800
1967,56000
1968,54300
1969,47200
1970,70000
1971,66400
1972,84191
1973,85900
1974,82800
1975,97600
1976,66600
1977,84100
1978,70487
1979,51514
1980,57151
1981,59737
1982,43606
1983,43013
1984,42420
1985,39632
1986,43854
1987,46750
1988,44592
1989,42422
1990,38509
1991,42322
1992,41402
1993,33832
1994,37042
1995,38836
1996,37005
1997,35075
1998,35599
1999,29282
2000,28617
2001,26761
2002,28672
2003,46607
2004,35740
2005,30156
2006,30336
2007,30321
2008,28130
2009,34179
2010,33918
2011,33834
2012,39462
2013,32206
2014,36432
2015,43587
2016,58058
2017,62413
