Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,445285
1947,516265
1948,432671
1949,433385
1950,382093
1951,350950
1952,322372
1953,304353
1954,277300
1955,238200
1956,215200
1957,230500
1958,227600
1959,241700
1960,281900
1961,229900
1962,233200
1963,271600
1964,312900
1965,390500
1966,400200
1967,294000
1968,308800
1969,278300
1970,259900
1971,269600
1972,276811
1973,303900
1974,285100
1975,289100
1976,322300
1977,311300
1978,360645
1979,266809
1980,316535
1981,272129
1982,268269
1983,212494
1984,205405
1985,214011
1986,204098
1987,190582
1988,176015
1989,181073
1990,169468
1991,165769
1992,169339
1993,179892
1994,170912
1995,169320
1996,193170
1997,180103
1998,163398
1999,135701
2000,130368
2001,127624
2002,125949
2003,105026
2004,103671
2005,108611
2006,117166
2007,114195
2008,124073
2009,123033
2010,140251
2011,125488
2012,135746
2013,147218
2014,179340
2015,180405
2016,193272
2017,185743
