Year,Visitors
1940,2364
1941,90357
1942,24992
1943,22664
1944,69360
1945,49966
1946,91712
1947,71680
1948,82384
1949,76903
1950,61242
1951,67948
1952,86830
1953,76714
1954,63600
1955,53800
1956,93200
1957,84600
1958,82000
1959,100200
1960,98700
1961,114300
1962,114200
1963,114600
1964,125400
1965,141900
1966,133600
1967,139200
1968,142900
1969,156400
1970,186300
1971,171200
1972,157468
1973,163400
1974,154400
1975,147700
1976,198800
1977,156800
1978,144279
1979,133450
1980,163074
1981,143430
1982,150975
1983,162159
1984,149820
1985,154027
1986,138638
1987,128870
1988,130420
1989,103195
1990,99216
1991,107238
1992,114510
1993,109219
1994,94416
1995,87965
1996,91412
1997,85936
1998,86546
1999,74303
2000,69152
2001,64898
2002,60733
2003,53694
2004,50246
2005,49980
2006,49239
2007,56013
2008,49328
2009,53186
2010,55750
2011,44873
2012,52870
2013,46138
2014,48105
2015,51252
2016,54167
2017,49306
