Year,Visitors
1941,1400
1942,0
1943,0
1944,0
1945,0
1946,539
1947,1992
1948,2796
1949,3207
1950,3408
1951,8058
1952,9511
1953,14710
1954,18800
1955,18900
1956,18000
1957,23600
1958,12200
1959,15400
1960,18700
1961,22100
1962,40500
1963,27600
1964,29700
1965,36400
1966,36500
1967,40700
1968,44900
1969,32500
1970,26700
1971,22400
1972,19934
1973,20700
1974,19900
1975,18100
1976,18300
1977,15900
1978,17780
1979,18084
1980,16278
1981,16421
1982,18971
1983,22608
1984,21849
1985,21268
1986,38276
1987,42671
1988,34838
1989,37393
1990,38101
1991,40356
1992,42989
1993,46537
1994,30986
1995,32626
1996,36384
1997,29477
1998,38910
1999,41510
2000,43892
2001,52077
2002,52330
2003,49779
2004,48776
2005,54284
2006,53667
2007,70216
2008,71314
2009,71301
2010,74314
2011,69845
2012,103708
2013,67396
2014,69156
2015,78739
2016,87755
2017,123400
