Year,Visitors
1904,101000
1905,109000
1906,111000
1907,113000
1908,115000
1909,117000
1910,120000
1911,130000
1912,135000
1913,135000
1914,125000
1915,115000
1916,118740
1917,135000
1918,140000
1919,160490
1920,162850
1921,130968
1922,106164
1923,112000
1924,164175
1925,265500
1926,260000
1927,181523
1928,199099
1929,184517
1930,167062
1931,153394
1932,201762
1933,151638
1934,205565
1935,247387
1936,273083
1937,185935
1938,121909
1939,178755
1940,182583
1941,208107
1942,166661
1943,195842
1944,254834
1945,278626
1946,288275
1947,300820
1948,304021
1949,314949
1950,294955
1951,307426
1952,326016
1953,338828
1954,363100
1955,372600
1956,382100
1957,363500
1958,384800
1959,404700
1960,719100
1961,891300
1962,1874000
1963,1870600
1964,1787300
1965,1809400
1966,1763700
1967,1981300
1968,1913900
1969,1852300
1970,2092400
1971,1824400
1972,1974038
1973,1768300
1974,1631400
1975,1351000
1976,1117900
1977,1127000
1978,1229206
1979,1118800
1980,1160588
1981,1177911
1982,1015580
1983,1160008
1984,1071853
1985,1112764
1986,1175170
1987,1101242
1988,1185772
1989,1272771
1990,1123175
1991,1203929
1992,1504013
1993,1477299
1994,1618847
1995,1617077
1996,1538105
1997,1509596
1998,1495993
1999,1384469
2000,1338156
2001,1296786
2002,1440227
2003,1561311
2004,1418735
2005,1340160
2006,1273456
2007,1300152
2008,1238147
2009,1284707
2010,1311807
2011,1396354
2012,1302505
2013,1325719
2014,1424484
2015,1418162
2016,1544300
2017,1561616
