Year,Visitors
1925,250
1926,250
1927,263
1928,240
1929,450
1930,400
1931,440
1932,400
1933,425
1934,125
1935,200
1936,200
1937,500
1938,168
1939,150
1940,352
1941,310
1942,122
1943,40
1944,61
1945,56
1946,149
1947,132
1948,173
1949,225
1950,314
1951,417
1952,613
1953,749
1954,1400
1955,1400
1956,3100
1957,2300
1958,3200
1959,3700
1960,2800
1961,3300
1962,4000
1963,5300
1964,6400
1965,7600
1966,7000
1967,7200
1968,8200
1969,7200
1970,9600
1971,12000
1972,11991
1973,12000
1974,10900
1975,13200
1976,19200
1977,16400
1978,17548
1979,14815
1980,13591
1981,13628
1982,13532
1983,13837
1984,14322
1985,14601
1986,15583
1987,18579
1988,22134
1989,26798
1990,27260
1991,26858
1992,27149
1993,25633
1994,24767
1995,27020
1996,27526
1997,24465
1998,23699
1999,47593
2000,43300
2001,37396
2002,30918
2003,29737
2004,26854
2005,26662
2006,26348
2007,26263
2008,25411
2009,27855
2010,27386
2011,25858
2012,26710
2013,24959
2014,26808
2015,35117
2016,42862
2017,39970
