Year,Visitors
1968,50200
1969,50800
1970,77300
1971,70200
1972,65210
1973,28900
1974,28600
1975,31500
1976,31700
1977,38400
1978,35121
1979,36344
1980,106358
1981,164551
1982,161461
1983,147318
1984,144755
1985,120473
1986,138811
1987,132047
1988,148412
1989,172873
1990,180923
1991,208354
1992,232513
1993,251190
1994,237013
1995,238338
1996,253123
1997,264952
1998,271353
1999,202572
2000,216407
2001,234631
2002,196874
2003,163883
2004,130411
2005,95676
2006,72516
2007,69211
2008,61955
2009,99267
2010,80578
2011,88231
2012,75061
2013,75678
2014,81475
2015,66324
2016,67276
2017,45800
