Year,Visitors
1941,2862
1942,10259
1943,17393
1944,23298
1945,27400
1946,29884
1947,27786
1948,27508
1949,26191
1950,26611
1951,775221
1952,1008457
1953,1059576
1954,1204900
1955,1250800
1956,1308000
1957,1465100
1958,1392400
1959,1475500
1960,1595000
1961,1723900
1962,2142600
1963,2348800
1964,2680400
1965,2730000
1966,2745500
1967,2683700
1968,2277600
1969,2403200
1970,2382300
1971,1506400
1972,1650368
1973,1214100
1974,2307600
1975,2265200
1976,3687900
1977,1520400
1978,1785606
1979,2002333
1980,2033208
1981,1567871
1982,4318501
1983,4767889
1984,4827270
1985,4867399
1986,4964318
1987,7300123
1988,5362893
1989,5174682
1990,3347163
1991,3200377
1992,3237516
1993,3168317
1994,3138276
1995,3054818
1996,3128028
1997,3155195
1998,2997127
1999,3067187
2000,3179157
2001,2813047
2002,2972104
2003,2712277
2004,4087918
2005,3951073
2006,3532245
2007,3705538
2008,4076638
2009,3967694
2010,3751007
2011,3572770
2012,3594549
2013,3553070
2014,3648050
2015,4311582
2016,5067510
2017,4790758
