Year,Visitors
1973,50300
1974,63000
1975,100500
1976,153800
1977,264100
1978,677532
1979,1606166
1980,1222874
1981,1023436
1982,1066573
1983,1510630
1984,1560428
1985,1800326
1986,1676583
1987,1576238
1988,1885376
1989,1791902
1990,1919901
1991,2058801
1992,1973098
1993,1763094
1994,1699958
1995,1696488
1996,1526166
1997,1483782
1998,2108789
1999,1748047
2000,1820228
2001,1735404
2002,1989941
2003,1953449
2004,1810330
2005,2127336
2006,1938132
2007,1972344
2008,1833596
2009,1944568
2010,2150345
2011,1840513
2012,1889381
2013,1681695
2014,1553372
2015,1640195
2016,1698223
2017,2158471
