Year,Visitors
1940,2962
1941,7257
1942,6128
1943,5376
1944,3751
1945,6139
1946,7068
1947,7867
1948,7922
1949,9518
1950,3100
1951,2370
1952,2830
1953,3611
1954,4300
1955,5200
1956,5200
1957,5200
1958,4000
1959,5800
1960,6400
1961,6500
1962,5400
1963,7800
1964,8200
1965,9500
1966,10800
1967,9500
1968,10100
1969,10400
1970,14400
1971,15900
1972,16116
1973,15700
1974,13900
1975,16800
1976,17000
1977,16700
1978,16415
1979,14782
1980,14977
1981,14558
1982,13238
1983,12928
1984,11814
1985,16775
1986,26122
1987,31760
1988,26593
1989,27133
1990,23495
1991,22004
1992,22728
1993,21983
1994,24843
1995,23470
1996,23445
1997,21381
1998,23932
1999,23493
2000,21096
2001,19431
2002,19463
2003,17800
2004,17276
2005,17398
2006,17070
2007,15973
2008,14038
2009,14653
2010,15793
2011,15892
2012,16663
2013,16274
2014,14560
2015,18684
2016,24966
2017,28196
